"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","260","Создание пользователя без обязательного поля","tests","2026-09-07","passed","2026-09-07","TestCreateUser","Создание пользователя","",""
"","1628","Создание пользователя, который уже зарегистрирован","tests","2026-09-07","passed","2026-09-07","TestCreateUser","Создание пользователя","",""
"","280","Вход с неверным логином и паролем","tests","2026-09-07","passed","2026-09-07","TestLoginUser","Логин пользователя","",""
"","389","Вход под существующим пользователем","tests","2026-09-07","passed","2026-09-07","TestLoginUser","Логин пользователя","",""
"","283","Создание заказа без авторизации","tests","2026-09-07","passed","2026-09-07","TestCreateOrder","Создание заказа","",""
"","828","Вход с неверным логином и паролем","tests","2026-09-07","passed","2026-09-07","TestLoginUser","Логин пользователя","",""
"","260","Создание пользователя без обязательного поля","tests","2026-09-07","passed","2026-09-07","TestCreateUser","Создание пользователя","",""
"","275","Создание пользователя без обязательного поля","tests","2026-09-07","passed","2026-09-07","TestCreateUser","Создание пользователя","",""
"","295","Вход с неверным логином и паролем","tests","2026-09-07","passed","2026-09-07","TestLoginUser","Логин пользователя","",""
"","1312","Создание уникального пользователя","tests","2026-09-07","passed","2026-09-07","TestCreateUser","Создание пользователя","",""
"","265","Создание заказа без ингредиентов","tests","2026-09-07","passed","2026-09-07","TestCreateOrder","Создание заказа","",""
"","3986","Создание заказа с авторизацией","tests","2026-09-07","passed","2026-09-07","TestCreateOrder","Создание заказа","",""
"","297","Создание заказа с неверным хешем ингредиентов","tests","2026-09-07","passed","2026-09-07","TestCreateOrder","Создание заказа","",""
